2024-10-24 19:33:14,021 :: INFO :: logger set up successfully
2024-10-24 19:33:40,666 :: INFO :: started task AmazonCounterfactualClassification(name='AmazonCounterfactualClassification', languages=['eng'])
2024-10-24 19:33:40,727 :: INFO :: ended task AmazonCounterfactualClassification(name='AmazonCounterfactualClassification', languages=['eng'])
2024-10-24 19:33:41,094 :: INFO :: started task AmazonPolarityClassification(name='AmazonPolarityClassification', languages=['eng'])
2024-10-24 19:33:41,136 :: INFO :: ended task AmazonPolarityClassification(name='AmazonPolarityClassification', languages=['eng'])
2024-10-24 19:33:41,419 :: INFO :: started task AmazonReviewsClassification(name='AmazonReviewsClassification', languages=['eng'])
2024-10-24 19:33:41,463 :: INFO :: ended task AmazonReviewsClassification(name='AmazonReviewsClassification', languages=['eng'])
2024-10-24 19:33:41,744 :: INFO :: started task ArguAna(name='ArguAna', languages=['eng'])
2024-10-24 19:33:41,786 :: INFO :: ended task ArguAna(name='ArguAna', languages=['eng'])
2024-10-24 19:33:42,150 :: INFO :: started task ArxivClusteringP2P(name='ArxivClusteringP2P', languages=['eng'])
2024-10-24 19:33:42,206 :: INFO :: ended task ArxivClusteringP2P(name='ArxivClusteringP2P', languages=['eng'])
2024-10-24 19:33:42,613 :: INFO :: started task ArxivClusteringS2S(name='ArxivClusteringS2S', languages=['eng'])
2024-10-24 19:33:42,655 :: INFO :: ended task ArxivClusteringS2S(name='ArxivClusteringS2S', languages=['eng'])
2024-10-24 19:33:43,041 :: INFO :: started task AskUbuntuDupQuestions(name='AskUbuntuDupQuestions', languages=['eng'])
2024-10-24 19:33:43,092 :: INFO :: ended task AskUbuntuDupQuestions(name='AskUbuntuDupQuestions', languages=['eng'])
2024-10-24 19:33:43,507 :: INFO :: started task BiossesSTS(name='BIOSSES', languages=['eng'])
2024-10-24 19:33:43,552 :: INFO :: ended task BiossesSTS(name='BIOSSES', languages=['eng'])
2024-10-24 19:33:43,977 :: INFO :: started task Banking77Classification(name='Banking77Classification', languages=['eng'])
2024-10-24 19:33:44,023 :: INFO :: ended task Banking77Classification(name='Banking77Classification', languages=['eng'])
2024-10-24 19:33:44,367 :: INFO :: started task BiorxivClusteringP2P(name='BiorxivClusteringP2P', languages=['eng'])
2024-10-24 19:33:44,411 :: INFO :: ended task BiorxivClusteringP2P(name='BiorxivClusteringP2P', languages=['eng'])
2024-10-24 19:33:44,752 :: INFO :: started task BiorxivClusteringS2S(name='BiorxivClusteringS2S', languages=['eng'])
2024-10-24 19:33:44,795 :: INFO :: ended task BiorxivClusteringS2S(name='BiorxivClusteringS2S', languages=['eng'])
2024-10-24 19:33:45,142 :: INFO :: started task CQADupstackAndroidRetrieval(name='CQADupstackAndroidRetrieval', languages=['eng'])
2024-10-24 19:33:45,188 :: INFO :: ended task CQADupstackAndroidRetrieval(name='CQADupstackAndroidRetrieval', languages=['eng'])
2024-10-24 19:33:45,552 :: INFO :: started task CQADupstackEnglishRetrieval(name='CQADupstackEnglishRetrieval', languages=['eng'])
2024-10-24 19:33:45,596 :: INFO :: ended task CQADupstackEnglishRetrieval(name='CQADupstackEnglishRetrieval', languages=['eng'])
2024-10-24 19:33:45,885 :: INFO :: started task CQADupstackGamingRetrieval(name='CQADupstackGamingRetrieval', languages=['eng'])
2024-10-24 19:33:45,957 :: INFO :: ended task CQADupstackGamingRetrieval(name='CQADupstackGamingRetrieval', languages=['eng'])
2024-10-24 19:33:46,356 :: INFO :: started task CQADupstackGisRetrieval(name='CQADupstackGisRetrieval', languages=['eng'])
2024-10-24 19:33:46,408 :: INFO :: ended task CQADupstackGisRetrieval(name='CQADupstackGisRetrieval', languages=['eng'])
2024-10-24 19:33:46,782 :: INFO :: started task CQADupstackMathematicaRetrieval(name='CQADupstackMathematicaRetrieval', languages=['eng'])
2024-10-24 19:33:46,829 :: INFO :: ended task CQADupstackMathematicaRetrieval(name='CQADupstackMathematicaRetrieval', languages=['eng'])
2024-10-24 19:33:47,193 :: INFO :: started task CQADupstackPhysicsRetrieval(name='CQADupstackPhysicsRetrieval', languages=['eng'])
2024-10-24 19:33:47,235 :: INFO :: ended task CQADupstackPhysicsRetrieval(name='CQADupstackPhysicsRetrieval', languages=['eng'])
2024-10-24 19:33:47,680 :: INFO :: started task CQADupstackProgrammersRetrieval(name='CQADupstackProgrammersRetrieval', languages=['eng'])
2024-10-24 19:33:47,723 :: INFO :: ended task CQADupstackProgrammersRetrieval(name='CQADupstackProgrammersRetrieval', languages=['eng'])
2024-10-24 19:33:48,055 :: INFO :: started task CQADupstackStatsRetrieval(name='CQADupstackStatsRetrieval', languages=['eng'])
2024-10-24 19:33:48,102 :: INFO :: ended task CQADupstackStatsRetrieval(name='CQADupstackStatsRetrieval', languages=['eng'])
2024-10-24 19:33:48,361 :: INFO :: started task CQADupstackTexRetrieval(name='CQADupstackTexRetrieval', languages=['eng'])
2024-10-24 19:33:48,404 :: INFO :: ended task CQADupstackTexRetrieval(name='CQADupstackTexRetrieval', languages=['eng'])
2024-10-24 19:33:48,657 :: INFO :: started task CQADupstackUnixRetrieval(name='CQADupstackUnixRetrieval', languages=['eng'])
2024-10-24 19:33:48,701 :: INFO :: ended task CQADupstackUnixRetrieval(name='CQADupstackUnixRetrieval', languages=['eng'])
2024-10-24 19:33:48,986 :: INFO :: started task CQADupstackWebmastersRetrieval(name='CQADupstackWebmastersRetrieval', languages=['eng'])
2024-10-24 19:33:49,031 :: INFO :: ended task CQADupstackWebmastersRetrieval(name='CQADupstackWebmastersRetrieval', languages=['eng'])
2024-10-24 19:33:49,282 :: INFO :: started task CQADupstackWordpressRetrieval(name='CQADupstackWordpressRetrieval', languages=['eng'])
2024-10-24 19:33:49,325 :: INFO :: ended task CQADupstackWordpressRetrieval(name='CQADupstackWordpressRetrieval', languages=['eng'])
2024-10-24 19:33:49,580 :: INFO :: started task ClimateFEVER(name='ClimateFEVER', languages=['eng'])
2024-10-24 19:33:49,621 :: INFO :: ended task ClimateFEVER(name='ClimateFEVER', languages=['eng'])
2024-10-24 19:33:49,873 :: INFO :: started task DBPedia(name='DBPedia', languages=['eng'])
2024-10-24 19:33:49,913 :: INFO :: ended task DBPedia(name='DBPedia', languages=['eng'])
2024-10-24 19:33:50,145 :: INFO :: started task EmotionClassification(name='EmotionClassification', languages=['eng'])
2024-10-24 19:33:50,184 :: INFO :: ended task EmotionClassification(name='EmotionClassification', languages=['eng'])
2024-10-24 19:33:50,433 :: INFO :: started task FEVER(name='FEVER', languages=['eng'])
